filename,ABp,Am,Ap,Bm,Bp,Om,Op,abm
cluster_0_5606_BMP.rf.014e08776e28c345f767850812bbd227.jpg,0,0,1,0,0,0,0,0
cluster_0_4827_BMP.rf.00d925a7ac439d19a7efd6d70d22fcde.jpg,0,0,1,0,0,0,0,0
cluster_1_5501_BMP.rf.0183bd3df43c0c45a7401ef27db2f324.jpg,0,1,0,0,0,0,0,0
cluster_4_5065_BMP.rf.0208826787ae56a4781ed685a559929e.jpg,1,0,0,0,0,0,0,0
cluster_4_700_BMP.rf.01246175509a1db0ea8e9792cd9867c0.jpg,1,0,0,0,0,0,0,0
cluster_1_5669_BMP.rf.01a6f6bb42ccefbf2af92cce1f27b8e7.jpg,0,1,0,0,0,0,0,0
cluster_3_4872_BMP.rf.01e092db41ed97b455ed40c6bbfece99.jpg,0,0,0,1,0,0,0,0
cluster_7_1628_BMP.rf.016b8c41c3bba324dd1e0d5c4ec1a78f.jpg,0,0,0,0,0,1,0,0
cluster_0_4973_BMP.rf.00a9497e520a992dac7d6223519189f4.jpg,0,0,1,0,0,0,0,0
cluster_6_1889_BMP.rf.012c714c6e8b8a3cb0b949aafb279b95.jpg,0,0,0,0,0,0,1,0
cluster_2_4843_BMP.rf.00be47653ea00323ac927480915cc58b.jpg,0,0,0,0,1,0,0,0
cluster_6_2070_BMP.rf.0166540c99fe4763cda2b46f1c5cc670.jpg,0,0,0,0,0,0,1,0
cluster_1_5569_BMP.rf.0096ef48d1461596510461a82ed3e34c.jpg,0,1,0,0,0,0,0,0
cluster_1_5015_BMP.rf.023855d5645985eb99fab19ca0d4035f.jpg,0,1,0,0,0,0,0,0
cluster_3_5416_BMP.rf.01df8c000775be0aeb9ea005eeffb9e1.jpg,0,0,0,1,0,0,0,0
cluster_1_947_BMP.rf.0109319299a4f99986579a1858750747.jpg,0,1,0,0,0,0,0,0
cluster_1_618_BMP.rf.0232a863a2e4b348fdc1353cbda947ac.jpg,0,1,0,0,0,0,0,0
cluster_4_5151_BMP.rf.02a460dbbfeaf6c298afee0878bd5c44.jpg,1,0,0,0,0,0,0,0
cluster_6_1365_BMP.rf.02ba023440aa073820c2464fc2e6257c.jpg,0,0,0,0,0,0,1,0
cluster_1_824_BMP.rf.041ae4a065603e319739114841de6909.jpg,0,1,0,0,0,0,0,0
cluster_5_2600_BMP.rf.02d20bce9c4d6d593089ba06d383f483.jpg,0,0,0,0,0,0,0,1
cluster_7_2241_BMP.rf.05976fef6da1b22f0767282626d16a7a.jpg,0,0,0,0,0,1,0,0
cluster_4_5472_BMP.rf.023246d653473ecf8c76f0435e57c985.jpg,1,0,0,0,0,0,0,0
cluster_2_758_BMP.rf.053319d017e2e82233c5abfc270d024b.jpg,0,0,0,0,1,0,0,0
cluster_7_1857_BMP.rf.055ec4797114698ac6bcc59cfe54e84d.jpg,0,0,0,0,0,1,0,0
cluster_4_5350_BMP.rf.06f61b0cc61792251a0d5bc0d790ab23.jpg,1,0,0,0,0,0,0,0
cluster_6_2169_BMP.rf.0671cb27b2dc9d131078ea906228abde.jpg,0,0,0,0,0,0,1,0
cluster_0_5178_BMP.rf.033446f8e0ff4f23ab354fd7386fd424.jpg,0,0,1,0,0,0,0,0
cluster_6_2351_BMP.rf.04dbc34a8a47831571f329f9ee030e11.jpg,0,0,0,0,0,0,1,0
cluster_1_5998_BMP.rf.0563ecc2d10a839a9ed01cfc5b0f0971.jpg,0,1,0,0,0,0,0,0
cluster_6_1023_BMP.rf.0513b3573c777c1ce7a4a702e7af0f42.jpg,0,0,0,0,0,0,1,0
cluster_7_1129_BMP.rf.057cb7e609de24619e585837df457233.jpg,0,0,0,0,0,1,0,0
cluster_5_1933_BMP.rf.04429f8618a58d06e130923aed44fc95.jpg,0,0,0,0,0,0,0,1
